segment,value,n,balanced_accuracy,macro_f1,qwk
TENURE,Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,1291,0.4920955771735122,0.42207259075770287,0.5735197714009592
TENURE,Owner-occupied,4774,0.5423998244181873,0.599731519236132,0.7744849288203637
TENURE,Rented (private),3889,0.3684322782764585,0.4001646584181979,0.6282707181164214
TENURE,Rented (social),2141,0.3761345325147603,0.4084229695682559,0.6535466487546847
CONSTRUCTION_AGE_BAND,2022,384,0.45527005006558907,0.19133600972029077,0.2244703117541219
CONSTRUCTION_AGE_BAND,2023,330,0.2768736797634136,0.14645103324348607,0.27085251334929106
CONSTRUCTION_AGE_BAND,2024,219,0.45422836966954616,0.12489464558430075,0.09548104956268222
CONSTRUCTION_AGE_BAND,England and Wales: 1900-1929,1727,0.4064928284110311,0.433744708023441,0.6287387507628546
CONSTRUCTION_AGE_BAND,England and Wales: 1930-1949,1794,0.4082749176094979,0.45526098197151627,0.6508247403671021
CONSTRUCTION_AGE_BAND,England and Wales: 1950-1966,1814,0.27089551830367903,0.27962046802086943,0.6012408146740648
CONSTRUCTION_AGE_BAND,England and Wales: 1967-1975,946,0.4725625491699363,0.48032212503753424,0.6677397865683752
CONSTRUCTION_AGE_BAND,England and Wales: 1976-1982,622,0.3296047315834335,0.3100236025089636,0.6440732098973535
CONSTRUCTION_AGE_BAND,England and Wales: 1983-1990,614,0.5012757812547434,0.3182142074094204,0.5931998543866036
CONSTRUCTION_AGE_BAND,England and Wales: 1991-1995,488,0.41706942272387293,0.3297840972895317,0.456403165091803
CONSTRUCTION_AGE_BAND,England and Wales: 1996-2002,751,0.44625211985714974,0.34187628019152694,0.5990558304362266
CONSTRUCTION_AGE_BAND,England and Wales: 2003-2006,498,0.49946581196581197,0.3072055372297503,0.6032845149825357
CONSTRUCTION_AGE_BAND,England and Wales: 2007-2011,315,0.3782775563177899,0.26821880650994573,0.528995756718529
CONSTRUCTION_AGE_BAND,England and Wales: 2012 onwards,440,0.5112445230872935,0.2716257547166225,0.4262583597324886
CONSTRUCTION_AGE_BAND,England and Wales: before 1900,742,0.43103136514579443,0.38890411878644304,0.6604791082822717
PROPERTY_TYPE,Bungalow,158,0.5258169250104734,0.4702197288452548,0.6975631303835677
PROPERTY_TYPE,Flat,4623,0.3766863408588767,0.40810531980448417,0.6512159755157223
PROPERTY_TYPE,House,7003,0.5189907830857872,0.5673569775509698,0.7868994019128477
PROPERTY_TYPE,Maisonette,310,0.4293965353355402,0.44561756182882817,0.730735516774245
